247.1090_0A 20070629T210730 20070630T110730 11.86  1.19     260      26     163       3      52       2 247.4840_0Bc
247.4840_0B 20070629T040831 20070630T113730 16.64  1.41     262      21     140       4      81       0 247.1090_0Ac
255.5257_0B 20070708T033730 20070708T210730 10.36  1.18      92      26      42      -1      93       2 255.5882_0Ac
255.5882_0A 20070708T070832 20070708T170730  7.72  0.09      94       6      16      -1     -29       0 255.5257_0Bc
256.2549_0A 20070708T193730 20070709T013730 14.77  1.32      92      26     190       0     395      21 256.3382_0B
257.3174_0A 20070709T210730 20070710T040730 12.11  1.35      73      36     322      16     240      48 257.4840_0B
266.0882_0A 20070718T140730 20070719T030730 10.88  0.61     260      24     114       0      37       0 266.2549_0B
271.4424_0A 20070723T230730 20070724T023730 14.77  0.57     101      40     438       0     -33     -97 271.5257_0B
272.5674_0A 20070725T020730 20070725T103730 14.66  0.54     280      23     146       0     -68       1 272.6715_0Bc
272.6715_0B 20070725T043834 20070725T143730 10.18   0.2     275       8      25      -3     -41      -2 272.5674_0Ac
274.2965_0A 20070726T203730 20070727T130730  8.62  0.77     234      37      29      -1      44       1 274.4215_0Bc
274.4215_0B 20070726T043834 20070727T180730 16.64  1.33     234      16     165       0      71      -1 274.2965_0Ac
275.5049_0A 20070728T003730 20070728T040730  8.24  0.36     275      29     239       0    -455       0 275.5465_0B
276.5674_0A 20070729T013730 20070729T040730 10.87  1.12     282      47     505     -42     126     -20 276.5882_0Bc
276.5882_0B 20070729T023834 20070729T053730 14.39  1.03     274      30     558       0    1100       0 276.5674_0Ac
277.7132_0A 20070730T050730 20070730T073730  6.93  1.36     278     100     283       0    1117      35 277.7340_0B
283.2549_0A 20070804T203730 20070805T040730 14.67   0.9     261      29     247      -6      59      -4 283.4632_0B
285.2132_0A 20070806T173730 20070806T220730  5.07  0.33      88      44      13     -32      40       0    NULL
286.9007_0A 20070808T123730 20070809T003730  0.00  1.79      90      55     267       9     206      17 286.9215_0B
296.5049_0A 20070818T003730 20070818T030730  5.65  0.16      93      15      53      -9     -75      -7 296.5257_0B
299.8174_0A 20070821T083730 20070821T140730 12.39  2.28     256      38     392      13     250      10 299.9215_0Bc
299.9215_0B 20070821T110833 20070821T160730 16.75  1.21     260      25     386      24     330      15 299.8174_0Ac
302.6507_0A 20070824T040730 20070824T103730  8.13   0.7     106      56      30      -8    -195     -12    NULL
303.7549_0A 20070825T063730 20070825T123730  5.29  0.05     273       8      47     -16     -73     -18 303.8382_0B
305.7340_0B 20070827T093832 20070827T233730 12.85  0.45      80      15     124       3      59       2 305.7132_0A
310.4007_0A 20070831T220730 20070901T043730 14.56  2.67     246      43     322      -4      79     -10 310.4424_0Bc
310.4424_0B 20070831T003831 20070901T050730 16.66  2.46     253      43     352       0     133      -6 310.4007_0Ac
317.9007_0A 20070908T120730 20070908T203730  5.77  0.35     289      28     -12      -5      50      -1 317.9007_0B
321.6090_0A 20070912T030730 20070912T073730  6.04  0.06     256      14      69       0     -45       0    NULL
325.9840_0A 20070916T113730 20070916T153730  5.46  0.11     104      16     -66     -21       1       0    NULL
327.7757_0A 20070918T070730 20070918T093730  5.06  0.09     119      20     -84     -41       9      -6    NULL
328.7340_0A 20070919T070730 20070919T223730 10.01   0.7     253      21      71       0      14       0 329.0465_0B
332.9215_0B 20070923T120730 20070923T203730 15.62  0.93      76       8     202       9      31       2 333.0049_0A
333.3799_0A 20070923T213730 20070924T060730  5.82  0.32     207      35       2      -2   -1129      38 333.3799_0B
333.7965_0B 20070924T133826 20070925T025230 14.08  1.58      79      34     113      -1      51       2 333.7757_0A
335.6715_0A 20070926T040730 20070926T063730  7.13  0.11     248      14      21     -44      44       7    NULL
340.6507_0A 20071001T033730 20071001T090730  7.78  0.19     268      14      33     -11      11       0    NULL
344.0465_0A 20071004T073730 20071005T090730  0.00   0.4      92      10     -15      -4     -13      -1 343.8174_0B
348.0882_0B 20071008T170730 20071009T023730 16.89   3.9     279      39     223       3     119       4 348.1507_0Ac
348.1507_0A 20071008T163822 20071009T060730  9.00  0.78     277      48      10      -4      21      -1 348.0882_0Bc
350.8799_0A 20071011T100730 20071011T143754  7.47  0.06     108       7     176     -62       9       0 350.9215_0B
354.9007_0A 20071015T110730 20071015T153730  6.79   0.3     105      17      83     -20      17      -5    NULL
356.3382_0A 20071016T193730 20071017T150730  7.95  0.92      49      57      39       0    -232      -3 356.3174_0B
361.4840_0B 20071021T023730 20071022T090730 12.49  1.98      91      36     235       5     259      14 361.5465_0Ac
361.5465_0A 20071022T020817 20071022T143730 15.16  1.92     100      36     342     -14     595     -17 361.4840_0Bc
374.8174_0A 20071104T113730 20071105T000754 15.17  3.29      83      40     159      -1      93       5 375.2757_0B
382.6715_0A 20071112T040730 20071112T083754  5.38  0.17      85      16    -188     -68     -62      -1 382.7132_0Bc
382.7132_0B 20071112T053809 20071112T080754  9.65  0.13      80      25     683      66     418      16 382.6715_0Ac
385.1715_0B 20071114T180730 20071115T033754 15.87  2.57     252      34     279      10     165       9 385.1924_0Ac
385.1924_0A 20071114T173808 20071115T040754 13.26  1.71     240      46     284      10     195       5 385.1715_0Bc
386.8799_0A 20071116T103730 20071116T163754 10.91  1.73     260      33     364      11     148       5 386.9840_0Bc
386.9840_0B 20071116T123807 20071116T200754  8.46  0.15     250      17     -26     -11       3     -22 386.8799_0Ac
396.4632_0A 20071125T030730 20071126T153754  8.03  1.11      91      23      21      -7      18       1 396.4632_0Bc
396.4632_0B 20071125T030804 20071126T110754 10.61  0.24      91      17     232      11     -51       0 396.4632_0Ac
404.7549_0A 20071204T080730 20071204T173754 14.01  2.29     286      43     185       1     158       5 404.7549_0Bc
404.7549_0B 20071204T083801 20071204T170754 16.32  1.98     281      33     223       6     118       6 404.7549_0Ac
405.5882_0A 20071205T060730 20071206T033754  8.61  1.69     106      41      19       0      30       1 405.7132_0B
407.7757_0B 20071207T063759 20071207T133754  8.21  0.13     285      14      -2     -11    -379     -26 407.7757_0A
409.4424_0A 20071208T223730 20071209T020754  8.99  0.11      95       8      16     -52      21     -11    NULL
415.6924_0A 20071215T060730 20071215T100754 13.74   0.9     297      15     296       0      89       0 415.6924_0Bc
415.6924_0B 20071215T060757 20071215T110754  4.83  0.15     294       6    -146     -98      10       3 415.6924_0Ac
416.7965_0B 20071216T113754 20071216T170754  8.86  1.43     103      37      42      -3     212       2 416.9840_0A
425.1507_0A 20071224T193730 20071225T080754  4.33  0.37      97      23      64       0     -47       0    NULL
427.0674_0A 20071226T140730 20071226T160754  4.68  0.02     110      17      88     -51      33     -14    NULL
431.5674_0A 20071231T013730 20071231T030754 10.71  6.73     120      72     760       0     539     -74 431.5674_0Bc
431.5674_0B 20071231T013752 20071231T030754 11.01  7.62     118      78     800     -16     747    -171 431.5674_0Ac
433.9215_0A 20080102T103730 20080102T140754 12.81  5.34     107      82     448     -48      83     -65 433.9632_0Bc
433.9632_0A 20080102T113751 20080102T223754  6.45  0.09     274      37      -2      -5      12       0    NULL
433.9632_0B 20080102T123730 20080102T150754 12.81  4.83     107      78     433      -1     375      28 433.9215_0Ac
435.8590_0B 20080104T103730 20080104T210754  7.02  0.27     311      21      89      -6      65       1 435.8799_0Ac
435.8799_0A 20080104T100751 20080104T213754  6.30  0.06      22      18      91     -15      98       2 435.8590_0Bc
438.6715_0B 20080107T050754 20080107T110754 10.78  0.25     316      13     122     -15      47       6 438.7132_0A
439.3590_0B 20080107T220750 20080108T150754 13.47  0.27      90       9     155       3      10       0    NULL
445.1507_0B 20080113T180754 20080114T040754  6.71  0.17      92      11      -9       0     -20      -3 445.2549_0A
450.4840_0B 20080118T000748 20080119T130754 13.43  1.77     301      31     162       4       4      -1    NULL
450.8590_0A 20080119T100730 20080119T193754  6.57  0.68     236      27     -32      -3      21       0 451.0049_0B
454.4840_0A 20080122T003730 20080123T080754  8.90  2.38     184      91      47      -3     784      16 454.4840_0Bc
454.4840_0B 20080122T003747 20080123T063754 10.25  3.28     130      64     212       3     196       0 454.4840_0Ac
459.0465_0A 20080127T153730 20080128T040754 14.73   0.5      57       6     160       0      -5      -1    NULL
460.2965_0A 20080128T203730 20080129T083754 10.23  1.96     274      27     187       4      98       3 460.5257_0Bc
460.5257_0B 20080129T013747 20080129T113754  8.48  0.79     280      32      49      -5      69       3 460.2965_0Ac
461.2340_0A 20080129T183730 20080130T020754  6.51  0.26      92      15      29     -10       1      -5 461.3174_0Bc
461.3174_0B 20080129T200747 20080130T003754  6.09  0.09      84      25       9     -19   -4425       0 461.2340_0Ac
461.8799_0A 20080130T073754 20080130T120754  8.08  0.46      77      26      -5     -64     -21      -9 461.8174_0B
