20070321_181200 146.6125_0A 1.75 10.10 33221
20070322_171200 148.0500_0A 0.2 4.45 3159
20070322_174200 148.0500_0A 0.23 4.84 3609
20070322_181200 148.0500_0A 0.25 4.65 3672
20070322_184200 148.0500_0A 0.27 5.02 4081
20070322_191200 148.0500_0A 0.28 4.89 4031
20070322_194200 148.0500_0A 0.3 5.00 4307
20070322_214200 148.0500_0A 0.43 5.39 5385
20070322_221200 148.0500_0A 0.48 5.74 6553
20070322_224200 148.0500_0A 0.49 6.00 7120
20070322_231200 148.0500_0A 0.52 5.62 7371
20070322_234200 148.0500_0A 0.55 5.82 7573
20070323_001200 148.0500_0A 0.62 5.67 8143
20070323_004200 148.0500_0A 0.65 5.81 8303
20070323_011200 148.0500_0A 0.76 5.99 8833
20070323_014200 148.0500_0A 0.81 6.29 9279
20070323_021200 148.0500_0A 0.84 6.58 10502
20070323_024200 148.0500_0A 0.84 6.85 10821
20070323_031200 148.0500_0A 0.86 7.51 12593
20070323_034200 148.0500_0A 0.9 8.00 14327
20070323_041200 148.0500_0A 0.93 8.21 15875
20070323_044200 148.0500_0A 0.95 8.25 16389
20070323_051200 148.0500_0A 0.95 8.36 17006
20070323_054200 148.0500_0A 0.96 8.25 17410
20070323_061200 148.0500_0A 0.96 8.33 18089
20070323_064200 148.0500_0A 0.95 8.53 18803
20070323_071200 148.0500_0A 0.98 8.42 18699
20070323_074200 148.0500_0A 1.12 8.87 20550
20070323_081200 148.0500_0A 1.18 8.54 20279
20070323_084200 148.0500_0A 1.22 8.32 20234
20070323_091200 148.0500_0A 1.21 8.43 20398
20070323_094200 148.0500_0A 1.19 8.76 21181
20070323_101200 148.0500_0A 1.18 9.33 22491
20070323_104200 148.0500_0A 1.23 10.70 26550
20070323_111200 148.0500_0A 1.16 10.44 28206
20070323_114200 148.0500_0A 1.33 12.04 33031
20070323_121200 148.0500_0A 1.33 10.46 33161
20070323_124200 148.0500_0A 1.56 10.46 34463
20070322_221200 148.1958_0A 0.2 4.03 1841
20070322_224200 148.1958_0A 0.22 4.03 2012
20070322_231200 148.1958_0A 0.19 4.27 1929
20070322_234200 148.1958_0A 0.18 4.38 1885
20070323_001200 148.1958_0A 0.22 4.69 2221
20070323_004200 148.1958_0A 0.23 4.68 2234
20070323_011200 148.1958_0A 0.25 4.99 2385
20070323_014200 148.1958_0A 0.25 5.10 2401
20070323_021200 148.1958_0A 0.26 5.64 2742
20070323_024200 148.1958_0A 0.25 5.71 2672
20070323_031200 148.1958_0A 0.29 5.97 3005
20070323_034200 148.1958_0A 0.29 6.24 3226
20070323_041200 148.1958_0A 0.27 6.49 3144
20070323_044200 148.1958_0A 0.28 6.60 2972
20070323_051200 148.1958_0A 0.27 6.85 2950
20070323_054200 148.1958_0A 0.31 6.98 3113
20070323_061200 148.1958_0A 0.31 7.44 3385
20070323_064200 148.1958_0A 0.35 7.88 3944
20070323_071200 148.1958_0A 0.33 8.09 3893
20070323_074200 148.1958_0A 0.38 8.31 4503
20070323_081200 148.1958_0A 0.35 8.45 4310
20070323_084200 148.1958_0A 0.36 8.53 4225
20070323_091200 148.1958_0A 0.32 8.59 3761
20070323_094200 148.1958_0A 0.29 8.63 3200
20070323_101200 148.1958_0A 0.24 5.45 2540
20070323_104200 148.1958_0A 0.21 9.09 2180
20070323_111200 148.1958_0A 0.14 6.66 1405
20070323_114200 148.1958_0A 0.14 9.03 1301
20070323_121200 148.1958_0A 0.12 8.90 1177
20070323_124200 148.1958_0A 0.1 8.85 933
20070323_131200 148.1958_0A 0.08 8.83 652
20070323_134200 148.1958_0A 0.06 9.01 524
20070323_141200 148.1958_0A 0.05 9.16 430
20070323_144200 148.1958_0A 0.06 9.53 482
20070323_151200 148.1958_0A 0.07 9.88 654
20070323_154200 148.1958_0A 0.09 10.00 787
20070323_161200 148.1958_0A 0.05 9.86 460
20070323_164200 148.1958_0A 0.04 9.69 303
20070323_171200 148.1958_0A 0.02 9.68 205
20070322_234200 148.3000_0A 0.29 5.26 3766
20070323_001200 148.3000_0A 0.32 5.19 3887
20070323_004200 148.3000_0A 0.34 5.07 3708
20070323_011200 148.3000_0A 0.44 5.10 3978
20070323_014200 148.3000_0A 0.48 5.27 4116
20070323_021200 148.3000_0A 0.5 5.68 4879
20070323_024200 148.3000_0A 0.49 6.11 5344
20070323_031200 148.3000_0A 0.49 6.58 6243
20070323_034200 148.3000_0A 0.5 7.25 7379
20070323_041200 148.3000_0A 0.48 7.36 8014
20070323_044200 148.3000_0A 0.46 7.69 7949
20070323_051200 148.3000_0A 0.43 7.70 7598
20070323_054200 148.3000_0A 0.39 7.70 7067
20070323_061200 148.3000_0A 0.38 7.82 6942
20070323_064200 148.3000_0A 0.35 7.80 6625
20070323_071200 148.3000_0A 0.3 7.46 6033
20070323_074200 148.3000_0A 0.53 6.61 6847
20070323_081200 148.3000_0A 0.59 6.52 7068
20070323_084200 148.3000_0A 0.61 6.54 6965
20070323_091200 148.3000_0A 0.58 7.43 7405
20070323_094200 148.3000_0A 0.44 7.93 7890
20070323_101200 148.3000_0A 0.39 8.27 8205
20070323_104200 148.3000_0A 0.43 9.41 10068
20070323_111200 148.3000_0A 0.39 9.38 9699
20070323_114200 148.3000_0A 0.39 9.01 9904
20070323_121200 148.3000_0A 0.34 8.92 7475
20070323_124200 148.3000_0A 0.31 9.00 6366
20070323_131200 148.3000_0A 0.31 6.04 6156
20070325_084200 150.7792_0A 0.25 5.45 5395
20070325_091200 150.7792_0A 0.29 6.13 7354
20070325_094200 150.7792_0A 0.32 6.90 9262
20070325_101200 150.7792_0A 0.32 7.08 9653
20070325_104200 150.7792_0A 0.32 7.60 11336
20070325_111200 150.7792_0A 0.3 7.81 11775
20070325_114200 150.7792_0A 0.29 8.03 12190
20070325_121200 150.7792_0A 0.26 8.35 10285
20070325_124200 150.7792_0A 0.24 8.48 8518
20070325_131200 150.7792_0A 0.24 8.62 7677
20070325_134200 150.7792_0A 0.24 8.72 8308
20070325_141200 150.7792_0A 0.23 8.76 8808
20070325_144200 150.7792_0A 0.22 8.64 8114
20070325_151200 150.7792_0A 0.2 5.19 7302
20070325_154200 150.7792_0A 0.19 8.38 7459
20070325_161200 150.7792_0A 0.19 8.32 7541
20070325_164200 150.7792_0A 0.2 5.60 7196
20070326_111200 151.6958_0A 0.31 2.98 1697
20070326_114200 151.6958_0A 0.39 3.03 2267
20070326_121200 151.6958_0A 0.41 2.89 2418
20070326_124200 151.6958_0A 0.48 3.28 2701
20070326_131200 151.6958_0A 0.54 3.47 3160
20070326_134200 151.6958_0A 0.53 3.32 2922
20070326_141200 151.6958_0A 0.56 3.96 2996
20070326_144200 151.6958_0A 0.53 4.15 2525
20070326_151200 151.6958_0A 0.44 4.44 2182
20070326_154200 151.6958_0A 0.4 4.44 2012
20070326_161200 151.6958_0A 0.25 4.96 2077
20070326_164200 151.6958_0A 0.16 4.98 1823
20070326_171200 151.6958_0A 0.17 5.07 1775
20070326_174200 151.6958_0A 0.16 5.16 1653
20070326_181200 151.6958_0A 0.21 5.36 2002
20070326_184200 151.6958_0A 0.19 5.56 2142
20070326_191200 151.6958_0A 0.26 5.70 2852
20070326_194200 151.6958_0A 0.31 6.07 3756
20070326_201200 151.6958_0A 0.41 6.31 4903
20070326_204200 151.6958_0A 0.37 6.36 4640
20070326_211200 151.6958_0A 0.35 6.38 4248
20070326_214200 151.6958_0A 0.33 6.64 3999
20070326_221200 151.6958_0A 0.34 4.83 4196
20070326_224200 151.6958_0A 0.34 7.26 4341
20070326_231200 151.6958_0A 0.33 7.31 4119
20070326_234200 151.6958_0A 0.32 7.39 3925
20070327_001200 151.6958_0A 0.35 7.55 4322
20070327_004200 151.6958_0A 0.41 7.84 5107
20070327_011200 151.6958_0A 0.4 8.03 5103
20070327_014200 151.6958_0A 0.45 8.47 5901
20070327_021200 151.6958_0A 0.49 8.77 6570
20070327_024200 151.6958_0A 0.57 9.10 7664
20070327_031200 151.6958_0A 0.61 9.39 8384
20070327_034200 151.6958_0A 0.6 9.57 8342
20070327_041200 151.6958_0A 0.59 9.64 8131
20070327_044200 151.6958_0A 0.57 9.69 7804
20070327_051200 151.6958_0A 0.6 9.79 8239
20070327_054200 151.6958_0A 0.62 9.84 8303
20070327_061200 151.6958_0A 0.65 9.83 8519
20070327_064200 151.6958_0A 0.62 9.89 8017
20070327_071200 151.6958_0A 0.6 9.98 7782
20070327_074200 151.6958_0A 0.58 10.02 7414
20070327_081200 151.6958_0A 0.59 10.20 7863
20070327_084200 151.6958_0A 0.58 10.28 7839
20070327_091200 151.6958_0A 0.57 10.31 7776
20070327_094200 151.6958_0A 0.54 10.31 7471
20070327_101200 151.6958_0A 0.49 10.29 6869
20070327_104200 151.6958_0A 0.45 10.26 6249
20070327_111200 151.6958_0A 0.44 10.31 6087
20070327_114200 151.6958_0A 0.42 10.34 5788
20070327_121200 151.6958_0A 0.35 10.26 4906
20070327_124200 151.6958_0A 0.29 10.19 4073
20070327_131200 151.6958_0A 0.25 10.15 3601
20070327_134200 151.6958_0A 0.21 10.10 3134
20070327_144200 153.0917_0A -0.02 3.20 1021
20070327_151200 153.0917_0A -0.04 3.85 1137
20070327_154200 153.0917_0A -0.08 4.67 1828
20070327_161200 153.0917_0A -0.1 5.54 2525
20070327_164200 153.0917_0A -0.13 6.52 3493
20070327_171200 153.0917_0A -0.18 7.46 4590
20070327_174200 153.0917_0A -0.2 8.26 5005
20070327_181200 153.0917_0A -0.24 9.29 5765
20070327_184200 153.0917_0A -0.23 9.49 5211
20070327_191200 153.0917_0A -0.2 9.38 4308
20070327_194200 153.0917_0A -0.18 9.35 3814
20070331_093730 156.4424_0A 0.47 4.92 5425
20070331_100730 156.4424_0A 0.53 5.25 6267
20070331_103730 156.4424_0A 0.61 5.77 7656
20070331_110730 156.4424_0A 0.91 6.16 10831
20070331_113730 156.4424_0A 1.04 6.32 12089
20070331_120730 156.4424_0A 1.17 6.58 14434
20070331_123730 156.4424_0A 1.26 6.83 16395
20070331_130730 156.4424_0A 1.4 7.34 21636
20070331_133730 156.4424_0A 1.51 7.98 27892
20070331_140730 156.4424_0A 1.6 8.53 34825
20070331_143730 156.4424_0A 1.65 9.04 37512
20070331_150730 156.4424_0A 1.66 9.34 39697
20070331_153730 156.4424_0A 2.01 10.06 48152
20070331_160730 156.4424_0A 2.19 11.20 60977
20070331_163730 156.4424_0A 2.18 11.62 59882
20070331_170730 156.4424_0A 2.23 12.21 63105
20070331_173730 156.4424_0A 2.29 13.06 63555
20070331_180730 156.4424_0A 2.28 13.82 66734
20070403_040730 159.6507_0A 0.19 4.49 2626
20070403_043730 159.6507_0A 0.21 4.70 2930
20070403_050730 159.6507_0A 0.23 5.13 3472
20070403_053730 159.6507_0A 0.25 5.57 3967
20070403_060730 159.6507_0A 0.28 6.05 4757
20070403_063730 159.6507_0A 0.29 6.33 5129
20070403_070730 159.6507_0A 0.31 6.64 5590
20070403_073730 159.6507_0A 0.35 7.34 6991
20070403_080730 159.6507_0A 0.38 7.80 8548
20070403_083730 159.6507_0A 0.43 8.33 10087
20070403_090730 159.6507_0A 0.44 8.69 10629
20070403_093730 159.6507_0A 0.44 8.93 11156
20070403_100730 159.6507_0A 0.49 9.35 12905
20070403_103730 159.6507_0A 0.5 9.62 13558
20070403_110730 159.6507_0A 0.49 9.85 13938
20070403_113730 159.6507_0A 0.59 10.96 18238
20070403_120730 159.6507_0A 0.6 11.30 19634
20070403_123730 159.6507_0A 0.6 11.49 20104
20070403_130730 159.6507_0A 0.8 13.46 30778
20070403_133730 159.6507_0A 0.9 15.00 36593
20070403_140730 159.6507_0A 0.96 15.03 42585
20070403_143730 159.6507_0A 0.93 15.03 41903
20070403_150730 159.6507_0A 0.89 15.02 40250
20070403_153730 159.6507_0A 0.88 15.01 40012
20070404_043730 160.6715_0A 0.02 4.16 709
20070404_050730 160.6715_0A 0.04 4.42 1068
20070404_053730 160.6715_0A 0.05 4.61 1368
20070404_060730 160.6715_0A 0.07 4.81 1691
20070404_063730 160.6715_0A 0.07 4.85 1757
20070404_070730 160.6715_0A 0.08 4.91 1900
20070410_053730 166.6299_0A 0.25 5.43 3830
20070410_060730 166.6299_0A 0.36 5.50 5805
20070410_063730 166.6299_0A 0.5 5.78 7222
20070410_070730 166.6299_0A 0.61 6.00 8190
20070410_073730 166.6299_0A 0.76 6.19 11146
20070410_080730 166.6299_0A 0.88 6.54 13825
20070410_083730 166.6299_0A 1.02 6.93 16264
20070410_090730 166.6299_0A 1.08 7.16 17289
20070410_093730 166.6299_0A 1.16 7.49 19208
20070410_100730 166.6299_0A 1.2 7.86 20516
20070410_103730 166.6299_0A 1.26 8.73 23494
20070410_110730 166.6299_0A 1.3 9.30 25528
20070410_113730 166.6299_0A 1.27 9.57 25334
20070410_120730 166.6299_0A 1.28 9.88 27064
20070410_123730 166.6299_0A 1.23 9.96 26552
20070410_130730 166.6299_0A 1.2 10.08 27594
20070410_133730 166.6299_0A 1.18 4.51 27949
20070417_063730 173.7132_0A 0.03 4.42 766
20070417_070730 173.7132_0A 0.03 4.48 623
20070417_073730 173.7132_0A 0.03 4.58 518
20070417_080730 173.7132_0A 0.03 4.76 454
20070417_083730 173.7132_0A 0.03 5.28 444
20070417_090730 173.7132_0A 0.03 5.86 504
20070417_093730 173.7132_0A 0.03 6.37 552
20070417_100730 173.7132_0A 0.02 6.95 496
20070417_103730 173.7132_0A 0.02 7.79 714
20070417_110730 173.7132_0A 0.03 8.39 1018
20070417_113730 173.7132_0A 0.04 9.08 1512
20070417_120730 173.7132_0A 0.04 9.68 1511
20070417_123730 173.7132_0A 0.04 10.53 1777
20070417_130730 173.7132_0A 0.04 10.55 1383
20070417_133730 173.7132_0A 0.03 10.63 990
20070417_140730 173.7132_0A 0.02 11.06 871
20070417_143730 173.7132_0A 0.04 12.46 1331
20070417_150730 173.7132_0A 0.02 12.56 799
20070417_153730 173.7132_0A 0.01 12.40 276
20070419_010730 175.4007_0A 0.46 4.60 3865
20070419_013730 175.4007_0A 0.49 4.69 4183
20070419_020730 175.4007_0A 0.54 4.88 4620
20070419_023730 175.4007_0A 0.65 5.17 5975
20070419_030730 175.4007_0A 0.75 5.47 6895
20070419_033730 175.4007_0A 0.8 5.68 7622
20070419_040730 175.4007_0A 0.85 5.91 8357
20070419_043730 175.4007_0A 0.91 6.19 9288
20070419_050730 175.4007_0A 1.01 6.51 11535
20070419_053730 175.4007_0A 1.07 6.75 12688
20070419_060730 175.4007_0A 1.18 6.95 13980
20070419_063730 175.4007_0A 1.27 7.10 15765
20070419_070730 175.4007_0A 1.3 7.19 15945
20070419_073730 175.4007_0A 1.38 7.28 16825
20070419_080730 175.4007_0A 1.43 7.41 17890
20070419_083730 175.4007_0A 1.47 7.56 19117
20070419_090730 175.4007_0A 1.6 8.03 22892
20070419_093730 175.4007_0A 1.61 8.62 24737
20070419_100730 175.4007_0A 1.61 9.17 26439
20070419_103730 175.4007_0A 1.73 9.53 33291
