20070530_003730 216.5049_0A 216.5049_0B 20070530_023730 235.60 2.918 6.60 41.00 87.50 1.89 2.350 -5.475 7.251 8.051 -10.663 -3.55 30.86 83.50 5.56 2.700 -5.792 6.736 8.782 -10.213 
20070530_003730 216.5049_0A 216.5049_0B 20070530_030730 232.03 3.175 6.60 44.57 85.50 3.20 2.380 -5.902 8.271 8.738 -12.247 -3.55 34.42 84.00 4.94 2.830 -6.236 7.547 9.640 -11.666 
20070530_003730 216.5049_0A 216.5049_0B 20070530_033730 229.91 3.478 6.60 46.69 84.50 3.77 2.480 -6.410 9.321 9.623 -13.994 -3.55 36.54 82.00 6.40 3.020 -6.712 8.325 10.707 -13.282 
20070530_003730 216.5049_0A 216.5049_0B 20070530_040730 223.96 3.830 6.60 52.64 84.00 3.64 2.280 -6.644 10.910 9.658 -15.859 -3.55 42.49 81.50 6.25 3.010 -6.969 9.404 11.084 -14.957 
20070530_003730 216.5049_0A 216.5049_0B 20070530_043730 217.07 4.616 6.60 59.53 84.50 2.79 2.050 -6.822 13.406 9.652 -18.966 -3.55 49.38 81.50 5.53 3.060 -7.235 11.043 11.218 -17.123 
20070530_003730 216.5049_0A 216.5049_0B 20070530_050730 212.88 5.136 6.60 63.72 85.00 2.22 1.800 -6.945 15.636 9.611 -21.639 -3.55 53.57 79.00 6.54 2.960 -7.394 12.304 11.219 -18.670 
20070530_003730 216.5049_0A 216.5049_0B 20070530_053730 211.03 5.126 6.60 65.57 84.50 2.28 1.590 -7.049 16.977 9.559 -23.020 -3.55 55.42 79.50 5.97 2.750 -7.559 13.169 11.363 -19.796 
20070603_103730 220.9215_0A 220.9424_0B 20070603_103730 279.01 0.510 7.01 2.00 78.00 11.74 0.510 -3.051 3.053 4.381 -4.384 -3.86 12.87 49.00 32.88 0.050 -3.379 3.429 0.000 -0.000 
20070603_103730 220.9215_0A 220.9424_0B 20070603_110730 337.01 1.282 7.01 60.00 77.50 6.29 0.540 -3.386 6.653 5.192 -10.200 -3.86 70.87 65.50 8.40 0.200 -3.776 10.599 5.047 -14.165 
20070603_103730 220.9215_0A 220.9424_0B 20070603_113730 335.01 0.982 7.01 58.00 77.50 6.66 0.460 -3.774 7.001 5.803 -10.765 -3.86 68.87 74.00 5.87 0.230 -4.015 10.762 5.107 -13.687 
20070603_103730 220.9215_0A 220.9424_0B 20070603_120730 335.01 0.807 7.01 58.00 79.50 5.58 0.380 -4.186 7.804 6.404 -11.940 -3.86 68.87 74.00 5.87 0.180 -4.595 12.316 5.627 -15.083 
20070603_103730 220.9215_0A 220.9424_0B 20070603_123730 336.01 0.688 7.01 59.00 81.00 4.65 0.310 -4.601 8.852 6.744 -12.976 -3.86 69.87 70.00 7.09 0.140 -5.033 13.848 6.087 -16.745 
20070603_103730 220.9215_0A 220.9424_0B 20070603_130730 335.01 0.505 7.01 58.00 80.50 5.05 0.240 -5.133 9.591 7.290 -13.621 -3.86 68.87 71.50 6.83 0.120 -5.859 15.522 7.249 -19.205 
20070603_103730 220.9215_0A 220.9424_0B 20070603_133730 291.09 0.332 7.01 14.08 80.00 9.57 0.330 -4.515 4.651 8.283 -8.532 -3.86 24.95 270.00 -0.00 0.090 -6.885 7.594 8.332 -9.189 
20070603_103730 220.9215_0A 220.9424_0B 20070603_140730 279.36 0.570 7.01 2.35 270.00 -0.00 0.570 -4.805 4.809 9.934 -9.942 -3.86 13.22 270.00 -0.00 0.050 -7.099 7.292 8.359 -8.587 
20070603_103730 220.9215_0A 220.9424_0B 20070603_143730 277.44 0.780 7.01 0.43 258.50 -11.27 0.780 -3.316 3.316 0.000 -0.000 -3.86 11.30 74.00 15.15 0.040 -8.239 8.390 9.056 -9.222 
20070605_030730 221.8799_0A 222.3590_0B 20070605_030730 467.02 3.027 7.17 9.85 248.00 -20.30 3.020 4.909 4.973 7.621 7.719 -3.98 21.00 261.00 -8.32 0.570 5.816 6.220 0.000 0.000 
20070605_030730 221.8799_0A 222.3590_0B 20070605_033730 469.64 3.124 7.17 12.48 247.50 -20.55 3.110 5.139 5.245 8.021 8.186 -3.98 23.63 261.00 -8.17 0.680 5.982 6.516 0.000 0.000 
20070605_030730 221.8799_0A 222.3590_0B 20070605_040730 474.02 3.184 7.17 16.85 248.50 -19.43 3.150 5.350 5.558 8.261 8.583 -3.98 28.00 261.50 -7.45 0.880 6.123 6.918 0.000 0.000 
20070605_030730 221.8799_0A 222.3590_0B 20070605_043730 520.02 8.752 7.17 62.85 246.50 -11.01 3.220 5.634 11.545 8.663 17.751 -3.98 74.00 262.00 -2.22 0.960 6.202 22.299 0.000 0.000 
20070605_030730 221.8799_0A 222.3590_0B 20070605_050730 519.02 8.421 7.17 61.85 249.00 -10.10 3.290 5.946 11.958 9.006 18.113 -3.98 73.00 235.50 -11.14 1.110 6.390 18.372 7.271 20.905 
20070605_030730 221.8799_0A 222.3590_0B 20070605_053730 518.02 8.101 7.17 60.85 247.50 -11.19 3.350 6.237 12.069 9.669 18.709 -3.98 72.00 245.50 -7.94 1.220 6.546 19.465 7.604 22.612 
20070605_030730 221.8799_0A 222.3590_0B 20070605_060730 519.02 8.607 7.17 61.85 250.00 -9.60 3.370 6.532 13.201 9.907 20.022 -3.98 73.00 246.00 -7.36 1.160 6.574 20.714 7.647 24.095 
20070605_030730 221.8799_0A 222.3590_0B 20070605_063730 518.02 8.397 7.17 60.85 248.00 -10.93 3.480 6.923 13.432 10.457 20.288 -3.98 72.00 246.00 -7.76 1.260 6.732 20.088 7.741 23.100 
20070605_030730 221.8799_0A 222.3590_0B 20070605_070730 518.02 8.439 7.17 60.85 250.00 -9.90 3.500 7.269 14.242 10.732 21.028 -3.98 72.00 246.00 -7.76 1.280 6.869 20.499 8.004 23.885 
20070605_030730 221.8799_0A 222.3590_0B 20070605_073730 519.02 9.116 7.17 61.85 248.50 -10.35 3.580 7.764 15.576 11.472 23.013 -3.98 73.00 247.00 -7.02 1.450 7.168 22.741 8.311 26.366 
20070605_030730 221.8799_0A 222.3590_0B 20070605_080730 517.54 8.189 7.17 60.38 250.00 -10.04 3.490 8.195 15.830 11.792 22.777 -3.98 71.53 246.00 -7.95 1.550 7.490 21.807 8.629 25.122 
20070605_030730 221.8799_0A 222.3590_0B 20070605_083730 514.53 7.002 7.17 57.37 249.00 -11.46 3.460 8.610 15.222 12.304 21.754 -3.98 68.52 247.00 -8.73 1.740 7.853 19.973 8.946 22.754 
20070605_030730 221.8799_0A 222.3590_0B 20070605_090730 517.02 8.740 7.17 59.85 250.00 -10.19 3.830 8.458 16.087 12.870 24.479 -3.98 71.00 246.00 -8.16 1.750 8.250 23.391 9.189 26.053 
